TimeIndex;TIME;GDP at market prices;Final consumption expenditure of general goverment;Final consumption expenditure of households;Gross fixed capital formation;
1;1993-Q1;57488,20;20738,60;27385,10;11086,00;
2;1993-Q2;58227,70;20598,90;27710,90;11105,50;
3;1993-Q3;59011,70;20486,20;27677,80;10902,10;
4;1993-Q4;58929,10;20440,30;27674,10;11156,80;
5;1994-Q1;59594,10;20333,60;27996,00;11630,20;
6;1994-Q2;60207,90;20400,20;27910,60;11560,00;
7;1994-Q3;60902,40;20306,90;28093,40;11814,20;
8;1994-Q4;61823,30;20234,90;28468,10;12517,90;
9;1995-Q1;62599,10;20445,90;28360,90;12418,20;
10;1995-Q2;62913,70;20428,90;28424,10;12434,10;
11;1995-Q3;63232,50;20462,00;28535,00;13068,80;
12;1995-Q4;63850,20;20420,60;28622,10;13534,50;
13;1996-Q1;64267,50;20436,80;28712,70;13268,60;
14;1996-Q2;63771,90;20408,40;28762,00;13267,10;
15;1996-Q3;64082,30;20302,80;29244,10;13769,00;
16;1996-Q4;64493,80;20530,10;29305,90;13793,60;
17;1997-Q1;65084,00;20308,20;29531,60;13474,20;
18;1997-Q2;65842,70;20362,40;30024,60;13859,90;
19;1997-Q3;66371,50;20576,50;29913,30;13649,20;
20;1997-Q4;67688,50;20463,70;30153,90;14119,70;
21;1998-Q1;67962,10;21109,20;30371,60;14386,30;
22;1998-Q2;68889,00;21105,10;30749,70;14691,10;
23;1998-Q3;69274,10;21324,90;31044,50;14970,80;
24;1998-Q4;70054,50;21309,40;31476,80;15264,30;
25;1999-Q1;70864,30;21574,60;31672,40;15539,40;
26;1999-Q2;71302,30;21558,40;31849,00;15384,00;
27;1999-Q3;71875,80;21411,50;32239,40;16038,40;
28;1999-Q4;73209,20;21416,60;33203,20;15850,60;
29;2000-Q1;73711,90;21320,20;33392,00;16135,90;
30;2000-Q2;75556,20;21332,30;33929,20;16667,40;
31;2000-Q3;76165,30;21439,20;34069,90;16928,60;
32;2000-Q4;75931,70;21329,40;33945,80;17178,20;
33;2001-Q1;76218,20;21320,50;34103,00;17038,00;
34;2001-Q2;76222,10;21358,20;34133,00;16907,10;
35;2001-Q3;76513,90;21418,60;34220,80;17059,60;
36;2001-Q4;77175,70;21630,10;34043,70;17628,00;
37;2002-Q1;77064,50;21768,20;34718,20;16388,80;
38;2002-Q2;78268,60;21859,00;34819,00;17232,20;
39;2002-Q3;78721,60;21901,50;34855,80;16983,90;
40;2002-Q4;78861,30;21989,60;35099,50;17096,30;
41;2003-Q1;79779,20;22039,80;35103,30;17740,00;
42;2003-Q2;79327,20;22045,30;35151,60;17228,40;
43;2003-Q3;80460,30;22094,10;35578,50;17223,60;
44;2003-Q4;80980,10;22024,60;35770,80;17291,10;
45;2004-Q1;82444,40;21903,80;36295,40;17633,60;
46;2004-Q2;82802,80;21890,00;36056,60;17967,50;
47;2004-Q3;83441,20;21777,10;36494,90;18438,60;
48;2004-Q4;84147,50;21754,00;36764,70;18778,70;
49;2005-Q1;84515,70;21861,30;36990,10;18728,20;
50;2005-Q2;85063,50;21851,30;37261,10;18962,60;
51;2005-Q3;86080,40;21795,90;37811,40;19516,40;
52;2005-Q4;86670,10;21885,20;38068,10;19234,50;
53;2006-Q1;88004,70;22101,40;38193,90;19875,50;
54;2006-Q2;89470,00;22138,40;38642,20;20917,60;
55;2006-Q3;90509,40;22367,80;38777,10;21132,40;
56;2006-Q4;91100,70;22399,20;39294,40;21515,30;
57;2007-Q1;91988,10;22314,60;39629,20;22454,40;
58;2007-Q2;92477,50;22473,60;39911,40;22414,70;
59;2007-Q3;93184,40;22418,00;40678,20;22428,40;
60;2007-Q4;94230,50;22577,00;41144,00;23172,70;
61;2008-Q1;93512,30;22566,10;40726,40;23127,10;
62;2008-Q2;93441,60;22669,30;40754,00;22696,00;
63;2008-Q3;92979,80;22745,50;40455,10;22420,60;
64;2008-Q4;89682,70;22693,90;40028,70;22415,10;
65;2009-Q1;88369,40;23294,10;40469,60;20110,10;
66;2009-Q2;88417,40;23096,00;40879,30;19707,60;
67;2009-Q3;88374,10;23188,00;41116,10;19511,70;
68;2009-Q4;88785,50;23248,10;41347,40;19859,90;
69;2010-Q1;91159,60;23315,40;42321,10;19722,00;
70;2010-Q2;93013,30;23419,50;42291,60;20580,60;
71;2010-Q3;94146,50;23376,50;42876,40;21618,80;
72;2010-Q4;95688,00;23542,40;43265,30;21940,70;
73;2011-Q1;96026,20;23530,30;43429,50;21552,70;
74;2011-Q2;96328,10;23622,80;43840,00;22794,20;
75;2011-Q3;97572,60;23666,90;43643,10;22640,00;
76;2011-Q4;96243,30;23697,40;43592,90;22016,50;
77;2012-Q1;96391,60;23816,80;43858,80;22653,40;
78;2012-Q2;96543,20;23943,30;43806,80;22063,70;
79;2012-Q3;96402,80;24128,30;44064,60;21542,50;
80;2012-Q4;95766,20;24185,30;44282,60;22105,80;
81;2013-Q1;97066,50;24355,10;44467,30;21661,30;
82;2013-Q2;96958,20;24379,20;44600,70;22004,80;
83;2013-Q3;97391,60;24389,20;45053,60;22517,40;
84;2013-Q4;98120,10;24481,80;45357,50;22626,30;
85;2014-Q1;98907,60;24508,70;45596,70;23174,00;
86;2014-Q2;99721,10;24711,10;46160,90;23329,70;
87;2014-Q3;100414,20;24845,20;46136,10;23590,40;
88;2014-Q4;101226,70;24957,20;46633,10;24160,60;
89;2015-Q1;102651,00;25042,40;47333,90;24560,10;
